timestamp,edge_id,cpu_pct,gpu_pct,memory_pct,requests_per_min,latency_ms,resource_utilization,processing_efficiency,latency_efficiency,edge_health
2026-01-01 00:00:00,E1,50.5,31.65,76.16,3614,9.26,52.77,71.56435643564356,390.280777537797,46.17999999999999
2026-01-01 00:05:00,E4,85.13,13.18,29.44,7805,10.42,42.583333333333336,91.68330788206273,749.0403071017274,39.091
2026-01-01 00:10:00,E4,35.42,34.55,23.86,3076,7.92,31.276666666666667,86.84359119141727,388.3838383838384,26.278000000000002
2026-01-01 00:15:00,E4,65.73,44.28,45.17,4009,11.23,51.72666666666667,60.99193671078655,356.9902048085485,44.37200000000001
2026-01-01 00:20:00,E2,23.42,45.4,15.88,4510,8.34,28.23333333333333,192.57045260461143,540.7673860911272,22.538
2026-01-01 00:25:00,E2,83.0,40.78,68.21,7213,11.45,63.99666666666667,86.90361445783132,629.9563318777293,55.80899999999999
2026-01-01 00:30:00,E1,22.85,7.11,63.22,4242,8.4,31.060000000000002,185.64551422319474,505.0,28.923
2026-01-01 00:35:00,E3,97.83,34.49,60.82,2136,10.8,64.38,21.83379331493407,197.77777777777777,56.65299999999999
2026-01-01 00:40:00,E3,83.68,52.27,94.62,7571,9.88,76.85666666666667,90.47562141491395,766.2955465587044,65.92
2026-01-01 00:45:00,E3,46.69,5.58,71.06,842,6.93,41.11,18.03384022274577,121.50072150072151,37.827000000000005
2026-01-01 00:50:00,E2,12.35,95.38,50.79,1957,7.15,52.839999999999996,158.46153846153845,273.7062937062937,39.448
2026-01-01 00:55:00,E2,96.29,21.09,25.15,3970,10.1,47.51,41.22961885969467,393.0693069306931,42.67000000000001
2026-01-01 01:00:00,E2,22.01,83.72,67.38,4568,5.62,57.70333333333334,207.54202635165834,812.8113879003558,44.685
2026-01-01 01:05:00,E2,82.57,59.28,87.61,6762,8.89,76.48666666666666,81.8941504178273,760.6299212598425,64.688
2026-01-01 01:10:00,E4,90.79,20.03,73.96,4406,12.25,61.593333333333334,48.529573741601496,359.6734693877551,55.881
2026-01-01 01:15:00,E4,50.26,44.93,53.04,2035,8.78,49.41,40.48945483485873,231.77676537585424,41.732
2026-01-01 01:20:00,E2,76.72,9.91,26.8,1415,9.31,37.809999999999995,18.443691345151198,151.98711063372716,34.9
2026-01-01 01:25:00,E4,76.48,94.8,19.94,4027,11.01,63.74,52.654288702928866,365.75840145322434,50.087999999999994
2026-01-01 01:30:00,E3,28.48,74.01,43.1,1304,8.73,48.53,45.78651685393258,149.36998854524626,38.022000000000006
2026-01-01 01:35:00,E1,97.07,13.85,21.86,3284,12.01,44.25999999999999,33.83125579478727,273.43880099916737,40.851
2026-01-01 01:40:00,E1,50.1,59.09,56.28,4761,9.45,55.156666666666666,95.02994011976048,503.80952380952385,45.622
2026-01-01 01:45:00,E1,94.14,70.65,77.11,2857,9.48,80.63333333333334,30.34841725090291,301.3713080168776,67.401
2026-01-01 01:50:00,E3,84.12,55.82,93.27,2889,9.34,77.73666666666666,34.34379457917261,309.3147751605996,66.249
2026-01-01 01:55:00,E2,28.33,53.78,20.52,561,8.24,34.21,19.802329685845393,68.08252427184466,27.058999999999997
2026-01-01 02:00:00,E2,49.52,54.1,47.72,294,7.75,50.446666666666665,5.936995153473344,37.935483870967744,41.542
2026-01-01 02:05:00,E4,70.78,7.52,33.4,2035,9.08,37.23333333333333,28.751059621361968,224.11894273127754,34.574
2026-01-01 02:10:00,E2,73.64,30.79,66.25,2161,9.91,56.89333333333334,29.345464421510048,218.06256306760847,50.107
2026-01-01 02:15:00,E2,78.33,98.65,24.18,2874,12.2,67.05333333333334,36.69092301800077,235.5737704918033,52.922999999999995
2026-01-01 02:20:00,E4,10.94,86.83,11.73,5300,4.5,36.5,484.4606946983547,1177.7777777777778,25.067
