timestamp,tower_id,video_users,voice_users,iot_devices,gaming_users,emergency_users,hour,minute,day,weekday,is_weekend,total_users,high_priority_ratio,iot_ratio,consumer_ratio
2026-01-01 00:00:00,T2,379,16,374,87,5,0,0,1,3,0,487,0.01026694045174538,0.7679671457905544,0.9568788501026694
2026-01-01 00:05:00,T4,219,300,158,6,0,0,5,1,3,0,525,0.0,0.30095238095238097,0.42857142857142855
2026-01-01 00:10:00,T10,659,273,236,12,10,0,10,1,3,0,954,0.010482180293501049,0.24737945492662475,0.7033542976939203
2026-01-01 00:15:00,T2,326,111,975,215,14,0,15,1,3,0,666,0.021021021021021023,1.4639639639639639,0.8123123123123123
2026-01-01 00:20:00,T3,288,128,432,87,5,0,20,1,3,0,508,0.00984251968503937,0.8503937007874016,0.7381889763779528
2026-01-01 00:25:00,T4,596,101,1178,249,7,0,25,1,3,0,953,0.007345225603357817,1.236096537250787,0.8866736621196223
2026-01-01 00:30:00,T2,583,141,929,162,0,0,30,1,3,0,886,0.0,1.0485327313769752,0.8408577878103838
2026-01-01 00:35:00,T3,356,286,136,5,3,0,35,1,3,0,650,0.004615384615384616,0.20923076923076922,0.5553846153846154
2026-01-01 00:40:00,T7,512,155,978,228,11,0,40,1,3,0,906,0.012141280353200883,1.0794701986754967,0.8167770419426048
2026-01-01 00:45:00,T2,93,186,226,152,18,0,45,1,3,0,449,0.0400890868596882,0.5033407572383074,0.5456570155902004
2026-01-01 00:50:00,T10,485,40,491,33,2,0,50,1,3,0,560,0.0035714285714285713,0.8767857142857143,0.925
2026-01-01 00:55:00,T9,417,273,1199,100,20,0,55,1,3,0,810,0.024691358024691357,1.480246913580247,0.6382716049382716
2026-01-01 01:00:00,T2,442,115,726,180,8,1,0,1,3,0,745,0.010738255033557046,0.974496644295302,0.8348993288590604
2026-01-01 01:05:00,T1,527,260,1162,186,3,1,5,1,3,0,976,0.0030737704918032786,1.1905737704918034,0.7305327868852459
2026-01-01 01:10:00,T3,507,230,318,231,0,1,10,1,3,0,968,0.0,0.3285123966942149,0.762396694214876
2026-01-01 01:15:00,T10,634,260,446,32,11,1,15,1,3,0,937,0.011739594450373533,0.4759871931696905,0.7107790821771611
2026-01-01 01:20:00,T10,220,141,783,70,3,1,20,1,3,0,434,0.0069124423963133645,1.804147465437788,0.6682027649769585
2026-01-01 01:25:00,T2,599,111,922,213,19,1,25,1,3,0,942,0.020169851380042462,0.9787685774946921,0.861995753715499
2026-01-01 01:30:00,T9,631,256,710,190,19,1,30,1,3,0,1096,0.017335766423357664,0.6478102189781022,0.7490875912408759
