tower_id,temperature_c,power_usage_pct,traffic_load,weather,cpu_usage_pct,failed,cpu_temperature_ratio,power_temperature_ratio,traffic_pressure,weather_encoded,failure_risk_score
T10,66.92,85.65,1531,rain,98.78,1,1.4760908547519427,1.2798864315600718,1531,2,360.11600000000004
T3,26.99,23.29,830,fog,26.08,0,0.9662838088180807,0.8629121896998889,830,1,182.7715
T6,38.96,95.97,1191,rain,30.52,0,0.7833675564681725,2.4632956878850103,1191,2,273.538
T3,20.48,48.53,1375,fog,94.08,0,4.59375,2.36962890625,1375,1,308.792
T8,27.8,22.23,347,clear,19.94,0,0.7172661870503597,0.7996402877697841,347,0,84.784
T4,34.28,68.78,708,clear,70.6,0,2.0595099183197196,2.0064177362893814,708,0,178.046
T1,55.34,48.37,466,fog,34.23,0,0.6185399349475966,0.8740513191181785,466,1,123.70500000000001
T5,67.23,57.8,405,clear,20.09,0,0.29882492934701765,0.8597352372452773,405,0,113.38550000000001
T4,42.13,92.19,462,clear,24.61,0,0.5841443152148112,2.1882269166864465,462,0,126.2925
T5,53.55,59.07,1604,storm,99.16,1,1.8517273576097106,1.1030812324929973,1604,3,366.2835
T2,31.48,41.86,327,rain,86.58,0,2.7503176620076237,1.3297331639135959,327,2,99.25800000000001
T7,47.73,38.32,1194,storm,85.29,0,1.7869264613450662,0.8028493609888959,1194,3,275.9045
T8,56.92,35.16,1479,clear,51.76,0,0.9093464511595221,0.617709065354884,1479,0,327.414
T9,33.23,37.38,793,clear,34.54,0,1.0394222088474272,1.1248871501655133,793,0,181.2915
T2,27.28,39.32,751,storm,28.38,0,1.0403225806451613,1.4413489736070382,751,3,171.01
T4,29.98,60.63,1273,clear,84.83,0,2.8295530353569047,2.02234823215477,1273,0,291.187
T10,59.29,21.58,174,rain,35.56,0,0.5997638724911453,0.3639736886490133,174,2,61.350500000000004
T10,30.34,37.66,1073,storm,27.15,0,0.8948582729070533,1.241265655899802,1073,3,235.597
T10,43.44,47.22,513,storm,16.15,0,0.3717771639042357,1.0870165745856355,513,3,126.58400000000002
T6,23.83,20.11,578,fog,38.09,0,1.598405371380613,0.843894250944188,578,1,133.34750000000003
T8,25.82,43.37,1023,rain,95.82,0,3.711076684740511,1.6797056545313709,1023,2,239.193
T7,71.05,36.54,837,fog,11.58,0,0.1629838142153413,0.5142857142857143,837,1,194.93650000000002
T1,28.35,69.19,324,rain,26.47,0,0.9336860670194003,2.440564373897707,324,2,91.31949999999999
T10,66.45,39.4,842,rain,10.47,0,0.15756207674943568,0.5929270127915726,842,2,195.28650000000002
T6,51.95,37.81,1160,clear,70.95,0,1.3657362848893166,0.7278152069297401,1160,0,266.7395
T9,36.53,81.58,629,clear,12.42,0,0.33999452504790584,2.2332329592116067,629,0,153.73250000000002
T5,30.91,94.88,1570,clear,79.44,1,2.5700420575865417,3.069556777741831,1570,0,356.5915
T4,37.31,43.24,384,storm,76.86,0,2.0600375234521575,1.1589386223532565,384,3,110.59750000000003
T10,38.42,24.05,1581,rain,60.81,0,1.5827693909422176,0.6259760541384696,1581,2,343.07700000000006
T9,58.6,32.98,757,fog,32.31,0,0.5513651877133106,0.5627986348122866,757,1,179.258
T2,51.84,58.67,1711,clear,96.39,1,1.8593749999999998,1.1317515432098766,1711,0,386.1720000000001
T9,58.64,31.15,1415,fog,95.32,0,1.6255115961800817,0.5312073669849932,1415,1,323.104
T2,42.53,87.83,1299,rain,10.22,0,0.24030096402539386,2.0651304961203856,1299,2,290.34250000000003
T10,38.92,60.96,1543,fog,15.93,0,0.40930113052415207,1.566289825282631,1543,1,333.858
T3,43.37,50.71,1792,fog,88.53,0,2.0412727691952965,1.169241411113673,1792,1,397.24050000000005
T1,49.59,67.24,459,storm,91.18,1,1.8386771526517443,1.355918531962089,459,3,136.3315
T3,34.19,56.93,1488,rain,70.9,0,2.07370576191869,1.6651067563615094,1488,2,332.0135
T2,31.43,55.6,1331,fog,92.53,0,2.944002545338848,1.7690104995227491,1331,1,303.83349999999996
T9,22.05,20.71,556,rain,17.63,0,0.7995464852607709,0.9392290249433106,556,2,124.6805
T6,22.35,61.6,727,rain,16.33,0,0.730648769574944,2.756152125279642,727,2,166.8735
T1,50.19,77.1,727,fog,37.01,0,0.7373978880255031,1.5361625821876868,727,1,180.9195
T3,53.75,20.17,187,rain,36.17,0,0.6729302325581396,0.3752558139534884,187,2,62.405499999999996
T4,24.67,20.85,1693,clear,64.78,0,2.6258613700851234,0.845156059991893,1693,0,361.8935
T4,50.33,56.84,1085,fog,33.21,0,0.6598450228491953,1.129346314325452,1085,1,247.7425
T7,36.27,56.01,781,storm,89.34,0,2.4631927212572373,1.5442514474772537,781,3,194.7875
T2,43.16,80.29,1109,fog,60.53,0,1.4024559777571828,1.8602873030583877,1109,1,260.904
T9,57.1,31.4,809,fog,67.88,0,1.1887915936952713,0.5499124343257442,809,1,196.08100000000002
T5,22.55,31.11,123,fog,89.45,0,3.966740576496674,1.3796008869179601,123,1,54.499500000000005
T6,72.28,93.66,1677,fog,20.86,0,0.28859988931931374,1.2957941339236303,1677,1,376.52400000000006
T8,46.72,23.92,402,fog,75.87,0,1.623929794520548,0.5119863013698631,402,1,112.18800000000002
T8,56.24,35.63,182,rain,98.55,0,1.752311522048364,0.6335348506401138,182,2,77.59599999999999
T9,55.87,28.0,1314,fog,40.74,0,0.7291927689278683,0.5011634150706998,1314,1,290.6655
T6,68.84,49.66,122,fog,31.36,0,0.4555490993608367,0.7213829169087739,122,1,57.964
T7,32.42,81.36,531,rain,87.62,0,2.702652683528686,2.5095619987661935,531,2,148.401
T9,26.29,74.44,1058,rain,36.02,0,1.370102700646634,2.8314948649676683,1058,2,240.56450000000004
T9,40.41,75.04,355,clear,58.95,0,1.4587973273942096,1.856966097500619,355,0,107.90050000000001
T3,29.24,89.95,1252,storm,26.99,0,0.9230506155950753,3.0762653898768813,1252,3,281.548
T5,35.83,91.8,1470,clear,61.93,0,1.7284398548702204,2.5620987998883615,1470,0,333.7035
T2,68.28,22.72,924,clear,80.6,0,1.1804335090802576,0.3327475102519039,924,0,222.53400000000002
T8,48.28,65.23,1554,clear,31.85,0,0.6596934548467275,1.3510770505385252,1554,0,342.286
T10,69.67,30.25,719,clear,98.44,1,1.4129467489593799,0.4341897516865222,719,0,186.95550000000003
T4,29.88,92.91,1219,storm,76.05,0,2.5451807228915664,3.109437751004016,1219,3,285.512
T5,32.17,22.23,100,fog,27.77,0,0.8632266086415915,0.6910164749766863,100,1,38.1925
T8,32.24,36.13,843,rain,51.91,0,1.6101116625310172,1.1206575682382134,843,2,194.56800000000004
T4,20.89,45.94,412,rain,24.89,0,1.1914791766395405,2.1991383437051217,412,2,102.0885
T6,47.96,88.67,195,fog,78.16,0,1.6296914095079231,1.84883236030025,195,1,84.50600000000001
T2,62.05,39.86,561,storm,58.74,1,0.9466559226430299,0.6423851732473812,561,3,147.8825
T3,66.57,41.47,1688,fog,59.12,1,0.8880877272044465,0.622953282259276,1688,1,374.51050000000004
T7,62.51,37.49,1768,clear,27.74,1,0.44376899696048633,0.5997440409534475,1768,0,382.2735
T6,46.96,63.19,414,rain,63.24,0,1.3466780238500853,1.3456132879045997,414,2,120.126
T1,38.59,30.0,1089,rain,42.28,0,1.0956206271054676,0.7774034724021767,1089,2,242.20350000000002
T10,36.0,39.26,452,storm,17.31,0,0.4808333333333333,1.0905555555555555,452,3,111.16400000000002
T5,28.67,97.41,435,clear,31.16,0,1.0868503662364841,3.397628182769445,435,0,119.8815
T8,34.67,42.87,219,rain,34.49,0,0.9948081915200462,1.236515719642342,219,2,68.2395
T10,58.9,97.45,465,rain,49.28,0,0.836672325976231,1.6544991511035654,465,2,137.371
T8,72.77,37.99,1408,clear,83.04,0,1.1411295863680089,0.5220557922220695,1408,0,323.99850000000004
T9,55.4,50.29,1356,rain,26.99,0,0.4871841155234657,0.9077617328519856,1356,2,300.80600000000004
T7,65.17,53.27,1753,rain,85.05,1,1.305048335123523,0.8174006444683136,1753,2,394.85650000000004
T1,43.03,42.57,1266,rain,40.76,0,0.9472461073669532,0.9893097838717174,1266,2,280.9235
T3,42.43,47.08,464,storm,43.93,0,1.0353523450388875,1.1095922696205516,464,3,122.05950000000001
T4,59.45,41.95,1429,clear,81.69,0,1.3740958788898232,0.7056349873843566,1429,0,325.39050000000003
T1,64.99,36.52,195,fog,78.79,0,1.2123403600553933,0.5619326050161564,195,1,78.45950000000002
T3,54.71,64.79,1750,clear,82.22,0,1.5028331200877354,1.1842441966733688,1750,0,393.0795
T6,38.77,88.22,841,storm,63.65,0,1.641733298942481,2.2754707247872066,841,3,208.7165
T4,67.63,59.24,674,storm,23.81,1,0.3520626940706787,0.8759426290107941,674,3,168.76749999999998
T8,41.4,22.98,1699,storm,26.35,1,0.6364734299516909,0.5550724637681159,1699,3,360.466
T2,44.51,93.17,1231,fog,17.73,0,0.3983374522579196,2.093237474724781,1231,1,279.65749999999997
T4,36.76,36.47,185,fog,90.15,0,2.452393906420022,0.9921109902067465,185,1,71.66400000000002
T4,72.69,56.94,1325,fog,75.8,0,1.042784427018847,0.7833264548080892,1325,1,309.8705
T7,35.76,22.19,521,clear,89.11,0,2.4918903803131993,0.6205257270693513,521,0,135.4
T1,52.62,69.02,1440,clear,88.28,0,1.6776890916001521,1.3116685670847585,1440,0,332.615
T2,63.33,90.76,476,rain,40.28,1,0.6360334754460761,1.433128059371546,476,2,137.54050000000004
T3,29.93,60.28,366,fog,21.38,0,0.71433344470431,2.014032743067157,366,1,97.1645
T2,33.15,97.17,313,clear,42.7,0,1.2880844645550529,2.931221719457014,313,0,98.8615
T5,64.99,29.93,347,storm,29.29,0,0.4506847207262656,0.46053238959839976,347,3,97.9415
T3,41.24,25.7,348,fog,15.36,0,0.3724539282250242,0.6231813773035887,348,1,88.27200000000002
T2,28.17,21.05,873,rain,17.77,0,0.6308129215477458,0.7472488462903798,873,2,189.70650000000003
